week_of,dollars_per_gallon
06/07/2020,2.265
29/06/2020,
22/06/2020,2.216
15/06/2020,2.185
08/06/2020,2.123
01/06/2020,2.064
25/05/2020,2.049
18/05/2020,1.969
11/05/2020,1.941
04/05/2020,1.883
27/04/2020,
20/04/2020,
13/04/2020,1.951
06/04/2020,2.022
30/03/2020,2.103
23/03/2020,2.217
16/03/2020,2.343
09/03/2020,2.468
02/03/2020,2.514
24/02/2020,2.555
17/02/2020,2.518
10/02/2020,2.511
03/02/2020,2.546
27/01/2020,2.595
20/01/2020,2.625
13/01/2020,2.657
06/01/2020,2.665
30/12/2019,2.658