"Date","Spot exchange rate, US $ into Sterling                          XUDLUSS"
"03 Aug 20","1.3032"
"31 Jul 20","1.3126"
"30 Jul 20","1.3046"
"29 Jul 20","1.2966"
"28 Jul 20","1.2947"
"27 Jul 20","1.2895"
"24 Jul 20","1.2789"
"23 Jul 20","1.2746"
"22 Jul 20","1.2732"
"21 Jul 20","1.2749"
"20 Jul 20","1.2647"
"17 Jul 20","1.2536"
"16 Jul 20","1.2597"
"15 Jul 20","1.2623"
"14 Jul 20","1.253"
"13 Jul 20","1.2619"
"10 Jul 20","1.2662"
"09 Jul 20","1.2615"
"08 Jul 20","1.2596"
"07 Jul 20","1.2575"
"06 Jul 20","1.2509"
"03 Jul 20","1.2468"
"02 Jul 20","1.2466"
"01 Jul 20","1.2458"
"30 Jun 20","1.2359"
"29 Jun 20","1.2268"
"26 Jun 20","1.232"
"25 Jun 20","1.2406"
"24 Jun 20","1.245"
"23 Jun 20","1.252"
"22 Jun 20","1.2448"
"19 Jun 20","1.2361"
"18 Jun 20","1.242"
"17 Jun 20","1.2545"
"16 Jun 20","1.2583"
"15 Jun 20","1.2559"
"12 Jun 20","1.2539"
"11 Jun 20","1.2645"
"10 Jun 20","1.2755"
"09 Jun 20","1.2722"
"08 Jun 20","1.2698"
"05 Jun 20","1.2725"
"04 Jun 20","1.2607"
"03 Jun 20","1.2597"
"02 Jun 20","1.2557"
"01 Jun 20","1.2481"
"29 May 20","1.2368"
"28 May 20","1.2323"
"27 May 20","1.2217"
"26 May 20","1.2363"
"22 May 20","1.219"
"21 May 20","1.2212"
"20 May 20","1.227"
"19 May 20","1.2251"
"18 May 20","1.2192"
"15 May 20","1.2126"
"14 May 20","1.2199"
"13 May 20","1.2226"
"12 May 20","1.233"
"11 May 20","1.2358"
"07 May 20","1.2287"
"06 May 20","1.2362"
"05 May 20","1.2454"
"04 May 20","1.2421"
"01 May 20","1.2547"
"30 Apr 20","1.2613"
"29 Apr 20","1.2436"
"28 Apr 20","1.2436"
"27 Apr 20","1.2409"
"24 Apr 20","1.2338"
"23 Apr 20","1.2386"
"22 Apr 20","1.2329"
"21 Apr 20","1.2273"
"20 Apr 20","1.2473"
"17 Apr 20","1.2504"
"16 Apr 20","1.2451"
"15 Apr 20","1.2498"
"14 Apr 20","1.2594"
"09 Apr 20","1.247"
"08 Apr 20","1.2379"
"07 Apr 20","1.2304"
"06 Apr 20","1.2255"
"03 Apr 20","1.2258"
"02 Apr 20","1.2377"
"01 Apr 20","1.2424"
"31 Mar 20","1.2403"
"30 Mar 20","1.2416"
"27 Mar 20","1.2359"
"26 Mar 20","1.2135"
"25 Mar 20","1.1761"
"24 Mar 20","1.1772"
"23 Mar 20","1.1492"
"20 Mar 20","1.1741"
"19 Mar 20","1.1658"
"18 Mar 20","1.1763"
"17 Mar 20","1.2016"
"16 Mar 20","1.2277"
"13 Mar 20","1.2406"
"12 Mar 20","1.254"
"11 Mar 20","1.2887"
"10 Mar 20","1.2932"
"09 Mar 20","1.311"
"06 Mar 20","1.3029"
"05 Mar 20","1.2922"
"04 Mar 20","1.2821"
"03 Mar 20","1.2819"
"02 Mar 20","1.2748"
"28 Feb 20","1.2776"
"27 Feb 20","1.2873"
"26 Feb 20","1.2917"
"25 Feb 20","1.3016"
"24 Feb 20","1.2924"
"21 Feb 20","1.2962"
"20 Feb 20","1.2881"
"19 Feb 20","1.2951"
"18 Feb 20","1.3037"
"17 Feb 20","1.3006"
"14 Feb 20","1.3016"
"13 Feb 20","1.3055"
"12 Feb 20","1.2975"
"11 Feb 20","1.2945"
"10 Feb 20","1.2923"
"07 Feb 20","1.2939"
"06 Feb 20","1.2929"
"05 Feb 20","1.2984"
"04 Feb 20","1.3025"
"03 Feb 20","1.3013"
"31 Jan 20","1.3179"
"30 Jan 20","1.31"
"29 Jan 20","1.3"
"28 Jan 20","1.2983"
"27 Jan 20","1.3056"
"24 Jan 20","1.3067"
"23 Jan 20","1.3118"
"22 Jan 20","1.3141"
"21 Jan 20","1.3058"
"20 Jan 20","1.2998"
"17 Jan 20","1.3029"
"16 Jan 20","1.3067"
"15 Jan 20","1.3023"
"14 Jan 20","1.301"
"13 Jan 20","1.2979"
"10 Jan 20","1.3062"
"09 Jan 20","1.3049"
"08 Jan 20","1.3099"
"07 Jan 20","1.3122"
"06 Jan 20","1.3159"
"03 Jan 20","1.3072"
"02 Jan 20","1.3189"
"31 Dec 19","1.321"
"30 Dec 19","1.3115"
"27 Dec 19","1.3094"
"24 Dec 19","1.2948"
"23 Dec 19","1.2926"
"20 Dec 19","1.3049"
"19 Dec 19","1.3029"
"18 Dec 19","1.3073"
"17 Dec 19","1.3139"
"16 Dec 19","1.3334"
"13 Dec 19","1.3343"
"12 Dec 19","1.3119"
"11 Dec 19","1.3177"
"10 Dec 19","1.3171"
"09 Dec 19","1.3155"
"06 Dec 19","1.3105"
"05 Dec 19","1.3155"
"04 Dec 19","1.3107"
"03 Dec 19","1.2993"
"02 Dec 19","1.2922"
"29 Nov 19","1.2936"
"28 Nov 19","1.2903"
"27 Nov 19","1.2875"
"26 Nov 19","1.2838"
"25 Nov 19","1.2907"
"22 Nov 19","1.2834"
"21 Nov 19","1.2925"
"20 Nov 19","1.2911"
"19 Nov 19","1.2932"
"18 Nov 19","1.2966"
"15 Nov 19","1.2896"
"14 Nov 19","1.2857"
"13 Nov 19","1.2839"
"12 Nov 19","1.2839"
"11 Nov 19","1.2872"
"08 Nov 19","1.2792"
"07 Nov 19","1.2822"
"06 Nov 19","1.2874"
"05 Nov 19","1.2866"
"04 Nov 19","1.2906"
"01 Nov 19","1.2947"
"31 Oct 19","1.2939"
"30 Oct 19","1.2871"
"29 Oct 19","1.2904"
"28 Oct 19","1.2858"
"25 Oct 19","1.2832"
"24 Oct 19","1.2848"
"23 Oct 19","1.2882"
"22 Oct 19","1.2908"
"21 Oct 19","1.2983"
"18 Oct 19","1.2899"
"17 Oct 19","1.2842"
"16 Oct 19","1.2804"
"15 Oct 19","1.2777"
"14 Oct 19","1.2586"
"11 Oct 19","1.2683"
"10 Oct 19","1.2282"
"09 Oct 19","1.2218"
"08 Oct 19","1.2214"
"07 Oct 19","1.2321"
"04 Oct 19","1.2294"
"03 Oct 19","1.2407"
"02 Oct 19","1.2304"
"01 Oct 19","1.2223"
"30 Sep 19","1.232"
"27 Sep 19","1.2309"
"26 Sep 19","1.2334"
"25 Sep 19","1.2379"
"24 Sep 19","1.2479"
"23 Sep 19","1.243"
"20 Sep 19","1.2501"
"19 Sep 19","1.2488"
"18 Sep 19","1.2484"
"17 Sep 19","1.2482"
"16 Sep 19","1.242"
"13 Sep 19","1.246"
"12 Sep 19","1.2332"
"11 Sep 19","1.2343"
"10 Sep 19","1.2354"
"09 Sep 19","1.2344"
"06 Sep 19","1.2313"
"05 Sep 19","1.2325"
"04 Sep 19","1.2192"
"03 Sep 19","1.2092"
"02 Sep 19","1.2062"
"30 Aug 19","1.2183"
"29 Aug 19","1.2205"
"28 Aug 19","1.2221"
"27 Aug 19","1.2278"
"23 Aug 19","1.2276"
"22 Aug 19","1.2253"
"21 Aug 19","1.2131"
"20 Aug 19","1.2132"
"19 Aug 19","1.2135"
"16 Aug 19","1.2145"
"15 Aug 19","1.2114"
"14 Aug 19","1.2069"
"13 Aug 19","1.2072"
"12 Aug 19","1.2082"
"09 Aug 19","1.208"
"08 Aug 19","1.2134"
"07 Aug 19","1.2153"
"06 Aug 19","1.2167"
"05 Aug 19","1.2142"